ds,yhat,yhat_lower,yhat_upper
2021-05-02,23418048.16258709,6372235.940394395,38540433.05829125
2021-05-03,14907216.36832995,-1338685.1955506185,31135354.475803614
2021-05-04,15736160.184953416,-445627.2391090696,32268001.287909523
2021-05-05,13960854.550102986,-1293683.4353887273,30403421.665847566
2021-05-06,12733626.06577728,-4387164.101377559,29054449.96877262
2021-05-07,14693333.294998556,-2049284.059418594,30636215.26316469
2021-05-08,23928203.21013779,7550107.070473003,38930224.227807745
2021-05-09,23940854.007361077,9056375.663455416,41839431.910626054
2021-05-10,15323112.401771214,-2187564.906325305,30886090.807345312
2021-05-11,16044683.790529683,657457.8593794507,33354264.854298227
2021-05-12,14164826.716794435,-980385.0586306966,31166393.89498623
2021-05-13,12839191.713109054,-3078356.551303171,29642068.336134605
2021-05-14,14709924.618226387,-1881367.4642410495,32294561.418168794
2021-05-15,23868423.548039123,7919068.804167467,40341028.44133821
2021-05-16,23820281.685366903,8454158.202061351,38955480.52052119
2021-05-17,15160026.063246563,-458261.4598181437,31401729.671445906
2021-05-18,15859712.842296902,-873311.8704159282,32179931.764797468
2021-05-19,13980532.623198139,-3567581.9590165536,29198911.81584072
2021-05-20,12679587.912547868,-4332153.936120552,28465661.301929187
2021-05-21,14599944.74600112,-1134904.8672258055,30099006.67256231
2021-05-22,23833349.363372304,9121545.01536133,40336628.516446546
2021-05-23,23885143.59853656,7618412.180224938,38955462.74803522
2021-05-24,15348990.277729917,-1250482.9798940148,31440585.22592232
2021-05-25,16195470.009028811,-1055476.525172696,32420986.2073263
2021-05-26,14483703.326270256,-2414434.895818544,32019566.49941352
2021-05-27,13368160.355580077,-2350560.6104349424,29943409.555265225
2021-05-28,15488759.633506034,-465406.2453347067,32482395.815526273
2021-05-29,24933646.179930653,9245526.393301314,41215092.944768235
2021-05-30,25204181.253487367,9204043.739927018,41078518.43570142
2021-05-31,16889753.53847066,1522491.6921910592,33524346.075401053
2021-06-01,17956471.138801236,2274269.1950364695,35001067.554223
2021-06-02,16458886.105858382,860485.923467653,32783003.99882959
2021-06-03,15546911.145762578,-175428.3140061568,31827301.665983588
2021-06-04,17856027.428297136,1984902.3832859457,33861424.36837309
2021-06-05,27470170.776371103,11075347.778901145,43041989.02812194
2021-06-06,27886825.79867604,12802229.705834629,43827755.5460177
2021-06-07,19691934.888508804,3838193.1150218328,35703397.87242868
2021-06-08,20848678.758278497,5398398.763461195,37619625.346064754
2021-06-09,19409277.72848071,4182196.391551185,35578664.86244515
2021-06-10,18521971.18321404,2720886.8606173014,34353698.03539467
2021-06-11,20821272.2220654,3455395.250041363,37858362.49346012
2021-06-12,30390883.29771779,12990441.510477047,46064350.33119566
2021-06-13,30728801.364619587,15493277.041970557,47283789.67523469
2021-06-14,22422218.913269695,6707238.902703479,37481859.710314415
2021-06-15,23436277.52635874,7166487.659024106,40388433.62039567
2021-06-16,21825823.665465824,5646129.321156998,36490588.881966904
2021-06-17,20742325.109826848,5246621.092016794,35609065.072374545
2021-06-18,22824046.585226275,6740582.851661273,38848989.793064445
2021-06-19,32158872.34573591,15026202.388736015,48259714.32339953
2021-06-20,32249306.621310893,16101620.874692623,47113785.9222068
2021-06-21,23687261.05017288,6561010.667263911,39370510.384918064
2021-06-22,24442688.75558665,9748225.102402968,41047377.166357815
2021-06-23,22575218.001364335,6807391.59482612,39005170.53759469
2021-06-24,21240947.1827587,5654188.63341756,35811931.7286154
2021-06-25,23082503.04404058,6958680.15328,39185766.924442746
2021-06-26,32191753.160615437,16516191.58812666,49063073.839019954
